Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,,,,,
"Table A-1. Years of School Completed by People 25 Years and Over, by Age and Sex: Selected Years 1940 to 2024",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
Year,Total,Years of school completed,,,,,,,,,,,,,,
,,Elementary,,High school,,College,,Median,,,,,,,,
,,0 to 4 years,5 to 8 years,1 to 3 years,4 years,1 to 3 years,4 years or more,,,,,,,,,
"25 Years and Over, Both Sexes",,,,,,,,,,,,,,,,
2020,"45,260",168,557,"1,968","11,797","12,178","18,592",N,,,,,,,,
2019,"45,208",232,679,"2,353","11,639","12,269","18,037",N,,,,,,,,
2018,"44,854",182,776,"2,435","11,460","12,501","17,501",N,,,,,,,,
2017,"44,250",218,732,"2,532","11,494","12,792","16,482",N,,,,,,,,
2016,"43,763",210,858,"2,656","11,224","12,609","16,207",N,,,,,,,,
2015,"43,006",292,863,"2,938","10,965","12,420","15,528",N,,,,,,,,
2014,"42,466",286,946,"3,018","11,040","12,178","14,997",N,,,,,,,,
2013,"41,797",260,"1,035","3,116","10,950","11,955","14,481",N,,,,,,,,
2012,"41,219",273,"1,063","3,079","10,974","11,765","14,065",N,,,,,,,,
2011,"41,584",318,"1,140","3,098","11,250","12,046","13,731",N,,,,,,,,
2010,"41,085",323,"1,169","3,271","11,186","11,655","13,480",N,,,,,,,,
2009,"40,520",321,"1,226","3,202","11,351","11,409","13,010",N,,,,,,,,
2008,"40,146",282,"1,189","3,296","11,297","11,113","12,969",N,,,,,,,,
2007,"39,868",380,"1,283","3,462","11,408","10,961","12,375",N,,,,,,,,
2006,"39,481",359,"1,410","3,375","11,302","11,229","11,806",N,,,,,,,,
2005,"39,310",414,"1,375","3,422","11,269","10,865","11,965",N,,,,,,,,
2004,"39,201",430,"1,399","3,239","11,244","11,044","11,844",N,,,,,,,,
2003,"39,242",370,"1,370","3,336","11,392","10,986","11,791",N,,,,,,,,
2002,"38,670",433,"1,393","3,245","10,988","10,776","11,834",N,,,,,,,,
2001,"38,865",380,"1,317","3,202","11,294","11,146","11,526",N,,,,,,,,
2000,"37,786",287,"1,135","3,052","11,546","10,700","11,066",N,,,,,,,,
1999,"38,474",280,"1,142","3,296","11,826","10,893","11,040",N,,,,,,,,
1998,"39,354",319,"1,207","3,228","12,569","11,220","10,811",N,,,,,,,,
1997,"40,256",334,"1,163","3,624","12,710","11,524","10,892",N,,,,,,,,
1996,"40,919",418,"1,169","3,780","13,087","11,624","10,841",N,,,,,,,,
1995,"41,388",394,"1,264","3,667","14,061","11,659","10,342",N,,,,,,,,
1994,"41,946",367,"1,297","4,057","14,483","11,913","9,829",N,,,,,,,,
1993,"41,864",382,"1,223","3,894","15,036","11,361","9,968",N,,,,,,,,
1992,"42,493",433,"1,250","4,071","16,021","10,860","9,861",N,,,,,,,,
1991,"42,905",465,"1,322","4,178","17,503","9,283","10,153",12.9,,,,,,,,
1990,"43,240",505,"1,413","4,041","17,635","9,320","10,326",12.9,,,,,,,,
1989,"43,240",446,"1,352","4,013","17,901","9,072","10,454",12.9,,,,,,,,
1988,"42,953",430,"1,308","4,095","17,887","9,076","10,155",12.9,,,,,,,,
1987,"42,635",390,"1,360","3,995","17,539","9,157","10,196",12.9,,,,,,,,
1986,"42,053",387,"1,359","3,797","17,311","9,104","10,094",12.9,,,,,,,,
1985,"40,858",362,"1,328","3,703","16,748","8,980","9,737",12.9,,,,,,,,
1984,"40,173",404,"1,371","3,638","16,431","8,555","9,771",12.9,,,,,,,,
1983,"39,342",376,"1,324","3,664","15,804","8,567","9,605",12.9,,,,,,,,
1982,"38,703",337,"1,371","3,598","15,893","8,304","9,200",12.9,,,,,,,,
1981,"37,828",337,"1,428","3,665","15,419","8,198","8,782",12.9,,,,,,,,
1980,"36,615",362,"1,424","3,571","14,481","7,942","8,836",12.9,,,,,,,,
1979,"34,053",370,"1,381","3,452","13,338","7,415","8,096",12.9,,,,,,,,
1978,"33,120",325,"1,459","3,515","12,993","7,008","7,821",12.9,,,,,,,,
1977,"32,284",269,"1,383","3,715","12,845","6,398","7,676",12.8,,,,,,,,
1976,"31,148",247,"1,508","3,619","12,920","5,813","7,041",12.8,,,,,,,,
1975,"30,092",313,"1,644","3,743","12,544","5,403","6,443",12.7,,,,,,,,
